iter	Passed	Remaining
1021	59253	230638
1022	59312	230582
1023	59373	230536
1024	59424	230452
1025	59476	230370
1026	59539	230333
1027	59596	230270
1028	59651	230200
1029	59702	230113
1030	59760	230059
1031	59813	229980
1032	59871	229920
1033	59922	229839
1034	59974	229755
1035	60029	229687
1036	60081	229608
1037	60131	229518
1038	60182	229435
1039	60235	229357
1040	60289	229286
1041	60343	229213
1042	60396	229136
1043	60455	229084
1044	60510	229012
1045	60559	228921
1046	60610	228838
1047	60663	228759
1048	60714	228676
1049	60763	228586
1050	60816	228509
1051	60872	228445
1052	60922	228356
1053	60974	228276
1054	61024	228189
1055	61087	228152
1056	61155	228133
1057	61208	228055
1058	61264	227990
1059	61319	227923
1060	61370	227840
1061	61421	227758
1062	61482	227709
1063	61533	227627
1064	61587	227554
1065	61646	227502
1066	61702	227438
1067	61754	227359
1068	61803	227268
1069	61863	227216
1070	61919	227155
1071	61977	227097
1072	62028	227013
1073	62077	226923
1074	62136	226869
1075	62192	226805
1076	62243	226721
1077	62298	226654
1078	62353	226585
1079	62403	226501
1080	62452	226411
1081	62502	226326
1082	62552	226238
1083	62608	226177
1084	62656	226082
1085	62709	226009
1086	62759	225921
1087	62816	225863
1088	62873	225801
1089	62922	225713
1090	62972	225628
1091	63026	225556
1092	63082	225492
1093	63136	225420
1094	63190	225350
1095	63249	225295
1096	63302	225223
1097	63355	225148
1098	63407	225069
1099	63458	224987
1100	63518	224940
1101	63570	224861
1102	63627	224800
1103	63682	224734
1104	63736	224665
1105	63786	224580
1106	63837	224496
1107	63895	224440
1108	63947	224364
1109	64001	224292
1110	64051	224209
1111	64113	224166
1112	64162	224079
1113	64211	223991
1114	64262	223910
1115	64310	223820
1116	64366	223754
1117	64416	223672
1118	64468	223593
1119	64522	223525
1120	64583	223478
1121	64635	223401
1122	64686	223320
1123	64733	223227
1124	64783	223144
1125	64838	223077
1126	64888	222991
1127	64942	222922
1128	64997	222857
1129	65049	222779
1130	65104	222712
1131	65156	222636
1132	65214	222580
1133	65267	222507
1134	65320	222435
1135	65374	222364
1136	65439	222333
1137	65491	222256
1138	65542	222178
1139	65601	222125
1140	65654	222050
1141	65707	221978
1142	65756	221890
1143	65811	221825
1144	65867	221763
1145	65917	221680
1146	65968	221601
1147	66018	221519
1148	66068	221437
1149	66124	221372
1150	66175	221294
1151	66228	221220
1152	66283	221157
1153	66337	221087
1154	66393	221024
1155	66450	220965
1156	66508	220908
1157	66562	220840
1158	66614	220765
1159	66665	220685
1160	66721	220623
1161	66772	220545
1162	66823	220465
1163	66873	220385
1164	66930	220325
1165	66986	220263
1166	67038	220187
1167	67085	220096
1168	67143	220039
1169	67200	219979
1170	67249	219894
1171	67306	219836
1172	67359	219763
1173	67417	219711
1174	67471	219641
1175	67521	219559
1176	67576	219495
1177	67633	219434
1178	67684	219356
1179	67740	219294
1180	67801	219248
1181	67851	219167
1182	67905	219098
1183	67959	219030
1184	68013	218962
1185	68064	218885
1186	68111	218793
1187	68164	218722
1188	68216	218647
1189	68271	218584
1190	68322	218507
1191	68372	218423
1192	68430	218368
1193	68482	218294
1194	68534	218221
1195	68589	218155
1196	68646	218095
1197	68710	218062
1198	68759	217976
1199	68812	217904
