,learning_rate,max_depth,n_estimators,subsample,colsample_bytree,subsample_for_bin,num_leaves,min_child_samples,score
311,0.2,40.0,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7398745227451508
272,0.2,25.0,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7398745227451508
236,0.2,,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7398745227451508
233,0.2,,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7398745227451508
269,0.2,25.0,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7398745227451508
308,0.2,40.0,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7398745227451508
275,0.2,25.0,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7398745227451508
230,0.2,,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7398745227451508
317,0.2,40.0,1750.0,0.8,1.0,200000.0,31.0,20.0,0.7394524280040674
314,0.2,40.0,1750.0,0.7,1.0,200000.0,31.0,20.0,0.7394524280040674
245,0.2,,1750.0,0.8,1.0,200000.0,31.0,20.0,0.7394524280040674
320,0.2,40.0,1750.0,0.9,1.0,200000.0,31.0,20.0,0.7394524280040674
248,0.2,,1750.0,0.9,1.0,200000.0,31.0,20.0,0.7394524280040674
323,0.2,40.0,1750.0,1.0,1.0,200000.0,31.0,20.0,0.7394524280040674
242,0.2,,1750.0,0.7,1.0,200000.0,31.0,20.0,0.7394524280040674
287,0.2,25.0,1750.0,1.0,1.0,200000.0,31.0,20.0,0.7394524280040674
278,0.2,25.0,1750.0,0.7,1.0,200000.0,31.0,20.0,0.7394524280040674
251,0.2,,1750.0,1.0,1.0,200000.0,31.0,20.0,0.7394524280040674
284,0.2,25.0,1750.0,0.9,1.0,200000.0,31.0,20.0,0.7394524280040674
281,0.2,25.0,1750.0,0.8,1.0,200000.0,31.0,20.0,0.7394524280040674
263,0.2,25.0,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7393564973810939
