iter	Accuracy	MultiClass
557	0.7507434766	0.5606316917
558	0.7507194935	0.5605982216
559	0.7507818496	0.5605437361
560	0.7508442057	0.5605154947
561	0.7508202226	0.5604861372
562	0.7508490023	0.5604399995
563	0.7509209517	0.560389328
564	0.7509401381	0.5603543797
565	0.7509017652	0.5602981671
566	0.7509017652	0.5602649783
567	0.7508633922	0.5602409336
568	0.750954528	0.5602202466
569	0.7509641213	0.5601664673
570	0.7509785111	0.560116507
571	0.7510120875	0.5600883526
572	0.7510600537	0.5600404623
573	0.75110802	0.5600139618
574	0.7510360706	0.5599667488
575	0.7511367997	0.5599305062
576	0.7511320031	0.5598926016
577	0.7511320031	0.5598780342
578	0.7512231389	0.5598404749
579	0.751247122	0.5598014234
580	0.7511655794	0.559743957
581	0.7511559862	0.5596992607
582	0.7511847659	0.5596438819
583	0.7512327322	0.5596129239
584	0.7513142748	0.5595562722
585	0.7513046815	0.5595346893
586	0.7514245971	0.5595025044
587	0.7514917498	0.5594823983
588	0.7515541059	0.5594300773
589	0.7515732924	0.5593877744
590	0.7516068688	0.5593545002
591	0.7515253262	0.559299815
592	0.7516068688	0.5592701759
593	0.751616462	0.5592244392
594	0.7516836147	0.5592015188
595	0.7516884114	0.559160303
596	0.7516884114	0.5591096498
597	0.7516692249	0.55908636
598	0.7516500384	0.5590249865
599	0.751539716	0.5589697054
600	0.7516020721	0.5589546143
601	0.7515972755	0.5589199486
602	0.7515924789	0.5588767854
603	0.7516836147	0.5587949573
604	0.751693208	0.5587418015
605	0.7516500384	0.5587152422
606	0.7516836147	0.5586819403
607	0.7516884114	0.5586264794
608	0.751693208	0.558605554
609	0.751731581	0.5585708545
610	0.7518275134	0.558530772
611	0.7518994628	0.5584786099
612	0.7518802763	0.5584380587
613	0.7518658864	0.5584144268
614	0.7519522256	0.5583632901
615	0.7519666155	0.5583406309
616	0.751985802	0.5582786442
617	0.7519714121	0.5582382664
618	0.7520577513	0.5581855458
619	0.7520721412	0.5581560196
620	0.7520865311	0.558126566
621	0.7521680737	0.5580695425
622	0.7521249041	0.5580415725
623	0.7521824635	0.5580281038
624	0.7521488872	0.5579994875
625	0.7521440906	0.5579737595
626	0.7522304298	0.5579232826
627	0.7523023791	0.5578631701
628	0.7523599386	0.5578240142
629	0.752355142	0.5578138254
630	0.7524174981	0.557785686
631	0.7524894474	0.5577392737
632	0.7524894474	0.5576953628
633	0.7525661934	0.5576681085
634	0.7525805833	0.5576405255
635	0.7525805833	0.5576143939
636	0.75257099	0.5575983979
637	0.7526237529	0.557561519
638	0.7526909056	0.5575201241
639	0.7526765157	0.5574883018
640	0.7526669225	0.5574329161
641	0.7526429394	0.55739143
642	0.7526717191	0.5573642644
643	0.7526333461	0.5573325926
644	0.752609363	0.5573108421
645	0.7525757866	0.5572775761
646	0.7525566002	0.5572483109
647	0.7525949731	0.5571771092
648	0.7526429394	0.5571382359
649	0.7526573292	0.5571034663
650	0.7526285495	0.5570878999
651	0.7526717191	0.5570676694
652	0.752724482	0.5570474406
653	0.7526573292	0.5569971657
654	0.7527724482	0.5569779041
655	0.7528587874	0.5569312485
656	0.7528827705	0.5569001015
657	0.7529930929	0.5568420155
658	0.7529643131	0.5568014514
659	0.7530650422	0.5567681984
660	0.7530746355	0.5567528034
661	0.7530746355	0.5567292625
662	0.7530938219	0.5566938599
663	0.7531609747	0.5566638633
664	0.7531561781	0.5566014491
665	0.7531657713	0.5565824376
666	0.7530986186	0.5565368481
667	0.7531801612	0.5565081684
668	0.7531657713	0.5564798087
669	0.7531321949	0.5564412959
670	0.7531178051	0.5563950513
671	0.7531417882	0.5563296322
672	0.7531369916	0.5562847512
673	0.7531513814	0.5562657409
674	0.7531321949	0.556233775
675	0.7532185342	0.5561886866
676	0.7532569071	0.5561652963
677	0.7532617038	0.5561070844
678	0.7532904835	0.5560729713
679	0.7533432464	0.5560226242
680	0.7533432464	0.5559844787
681	0.7532952801	0.5559540177
682	0.7533000767	0.5559187024
683	0.7533528396	0.5558515129
684	0.7532952801	0.5558206047
685	0.7532856869	0.5557789734
686	0.7533288565	0.5557443511
687	0.753386416	0.5557232863
688	0.7533288565	0.5556630769
689	0.7533432464	0.5556397744
690	0.7533720261	0.5556091126
691	0.7533576362	0.5555723496
692	0.7534056025	0.5555445429
693	0.7534247889	0.5554826022
694	0.7534391788	0.5554535175
695	0.7533672295	0.5553829673
696	0.7533816193	0.5553632392
697	0.753386416	0.5552973785
698	0.7534343822	0.5552605519
699	0.7534391788	0.5552195462
700	0.7534823484	0.555197894
701	0.7534343822	0.5551769951
702	0.7534583653	0.5551600776
703	0.7534679586	0.555103043
704	0.753487145	0.5550785733
705	0.753487145	0.5550144349
706	0.7534631619	0.5549677198
707	0.7533720261	0.5549129296
708	0.753487145	0.5548594784
709	0.7535111282	0.5548297522
710	0.7534487721	0.5547990018
711	0.7535303147	0.5547832245
712	0.753487145	0.5547603829
713	0.753563891	0.5547284769
714	0.7536502302	0.5546520125
715	0.7536358404	0.5546306141
716	0.7535878741	0.5545829563
717	0.7536742134	0.5545456134
718	0.7537605526	0.5544839541
719	0.7537413661	0.5544546942
720	0.7536933998	0.5544230245
721	0.7537461627	0.5543836038
722	0.7537845357	0.554350567
723	0.7537749424	0.5543246098
724	0.7537797391	0.5543016747
725	0.7538660783	0.5542744905
726	0.753856485	0.5542543133
727	0.7538277053	0.554219308
728	0.7538660783	0.5541763245
729	0.753818112	0.5541517375
730	0.7538037222	0.5541210773
731	0.7537989256	0.5540868914
732	0.7538708749	0.5540340744
733	0.7539428243	0.5539941379
734	0.7539668074	0.5539770251
735	0.7539955871	0.5539409705
736	0.7539955871	0.5539109542
737	0.7540243668	0.5538960859
738	0.7539620107	0.5538523303
739	0.7540243668	0.5538065954
740	0.7540963162	0.5537552519
741	0.7540963162	0.5537291021
742	0.7541107061	0.5536831496
743	0.7541778588	0.5536354983
744	0.7541730622	0.5535729658
745	0.7541682655	0.553545313
746	0.7541682655	0.5535170816
747	0.7541107061	0.5534675153
748	0.7541394858	0.5534241083
749	0.7541538757	0.5534012163
750	0.7541538757	0.5533649858
751	0.7540771297	0.5533214427
752	0.7540867229	0.5532926536
753	0.7540723331	0.5532694017
754	0.7541107061	0.5532173381
755	0.7540963162	0.5531888032
756	0.7540579432	0.5531654401
757	0.7541298926	0.5531260229
758	0.7540963162	0.5531086686
759	0.754187452	0.5530454936
760	0.7541346892	0.5530177066
761	0.7542114351	0.5529948256
762	0.7542498081	0.5529749038
763	0.7542594014	0.5529645642
764	0.7542162318	0.552899993
765	0.7543697237	0.5528582422
766	0.7543697237	0.5528157156
767	0.7544224866	0.5527895389
768	0.7544224866	0.5527627296
769	0.7544752494	0.5527262517
770	0.7544128933	0.5526874389
771	0.7544033001	0.552660031
772	0.7544848427	0.5526436884
773	0.7544752494	0.5526196046
774	0.7544752494	0.5525957608
775	0.7544848427	0.5525373107
776	0.7545328089	0.5524583013
777	0.7544896393	0.5524069271
778	0.7544656562	0.5523540172
779	0.754518419	0.5523236437
780	0.7545519954	0.5522623536
781	0.7545615886	0.5522354838
782	0.7545280123	0.552200869
783	0.7545424021	0.5521495726
784	0.754480046	0.5521140149
785	0.7544944359	0.552082994
786	0.7544320798	0.5520617582
787	0.7544320798	0.5520476933
788	0.7544704528	0.5520218222
789	0.7544464697	0.5519994298
790	0.7544656562	0.5519593165
791	0.7545424021	0.5519261038
792	0.754671911	0.5518708954
793	0.7546431312	0.5518209219
794	0.7547198772	0.5517863357
795	0.7547678434	0.5517470343
796	0.7547294705	0.5517143559
797	0.7547582502	0.551634841
798	0.7547390637	0.5516127082
799	0.7547774367	0.5515781122
800	0.7548062164	0.5515326084
801	0.7548158097	0.5514967866
802	0.7548158097	0.551460921
803	0.7548062164	0.5514240068
804	0.7548541827	0.5513893718
805	0.7548973523	0.5513551592
806	0.754926132	0.5513230163
807	0.7548925556	0.5512903089
808	0.7549309286	0.5512390749
809	0.7549501151	0.55121256
810	0.7550220645	0.5511375899
811	0.7550508442	0.5510843958
812	0.7550604375	0.5510709294
813	0.7550364543	0.551028635
814	0.7551084037	0.5510039445
815	0.7550556408	0.5509731759
816	0.7550076746	0.5509476692
817	0.7551084037	0.5508927062
818	0.7551084037	0.5508562431
819	0.7551707598	0.5508244034
820	0.7551707598	0.5507885909
821	0.7552283193	0.5507614004
822	0.7552379125	0.5507392241
823	0.755218726	0.5507071477
824	0.755257099	0.5506511325
825	0.7553002686	0.5505966861
826	0.7552523024	0.5505507175
827	0.7553002686	0.5505136619
828	0.7553146585	0.5504683188
829	0.7553914045	0.550442138
830	0.7553914045	0.5504014221
831	0.7554825403	0.5503599013
832	0.7554633538	0.5503318323
833	0.7555305065	0.5502780919
834	0.7555640829	0.5502636462
835	0.7555928626	0.5502528176
836	0.7556216424	0.5502116677
837	0.7556456255	0.5501810832
838	0.7556983883	0.550133023
839	0.755664812	0.5500659915
840	0.755664812	0.5500503822
841	0.755664812	0.5500083171
842	0.7556839985	0.5499637559
843	0.7556792018	0.549914561
844	0.7556696086	0.5498722396
845	0.7556887951	0.5498514559
846	0.7557319647	0.5498128516
847	0.7557127782	0.5497901096
848	0.7557703377	0.5497417556
849	0.7558231005	0.549708332
850	0.7557991174	0.5496581552
851	0.7557847276	0.5496410339
852	0.7558231005	0.5496162549
853	0.7557655411	0.5495667863
854	0.7558087107	0.5495341684
855	0.7558087107	0.5495039565
856	0.7558183039	0.5494759818
857	0.7557463546	0.54945347
858	0.7557703377	0.549443481
859	0.7559334229	0.5493583177
860	0.7559382195	0.5493247176
861	0.7559238296	0.5493107546
862	0.7560773216	0.549266321
863	0.7561061013	0.5492258408
864	0.7560917114	0.5492075179
865	0.7561636608	0.5491782281
866	0.7561252878	0.5491221882
867	0.7561252878	0.5491058638
868	0.7561780507	0.5490720645
869	0.7561444743	0.5490511169
870	0.7561396777	0.5489868155
871	0.756134881	0.5489662751
872	0.7562020338	0.5489255188
873	0.7561588642	0.548899532
874	0.7562308135	0.5488274948
875	0.7562164236	0.5488028513
876	0.7562931696	0.5487788347
877	0.7562787797	0.5487538989
878	0.756288373	0.5487209113
879	0.7563075595	0.5486698541
